Fe,Density=7.874,
"Energy(eV),","Delta,",Beta
24619.3457,2.54E-06,4.33E-08
24787.7246,2.50E-06,4.22E-08
24957.2559,2.47E-06,4.11E-08
25127.9473,2.43E-06,4.00E-08
25299.8047,2.40E-06,3.90E-08
25472.8379,2.37E-06,3.79E-08
25647.0547,2.34E-06,3.70E-08
25822.4629,2.30E-06,3.60E-08
25999.0703,2.27E-06,3.50E-08
26176.8848,2.24E-06,3.41E-08
26355.918,2.21E-06,3.32E-08
26536.1738,2.18E-06,3.24E-08
26717.6621,2.15E-06,3.15E-08
26900.3945,2.12E-06,3.07E-08
27084.373,2.09E-06,2.99E-08
27269.6113,2.06E-06,2.91E-08
27456.1172,2.04E-06,2.84E-08
27643.8984,2.01E-06,2.76E-08
27832.9648,1.98E-06,2.69E-08
28023.3203,1.95E-06,2.62E-08
28214.9805,1.93E-06,2.55E-08
28407.9531,1.90E-06,2.48E-08
28602.2441,1.88E-06,2.42E-08
28797.8633,1.85E-06,2.36E-08
28994.8223,1.83E-06,2.29E-08
29193.125,1.80E-06,2.23E-08
29392.7852,1.78E-06,2.18E-08
29593.8125,1.75E-06,2.12E-08
29796.2129,1.73E-06,2.06E-08
30000,1.70E-06,2.01E-08
