N1.562O.42C.0003Ar.0094,Density=0.1200E-02,
"Energy(eV),","Delta,",Beta
1226.9707,1.73E-07,2.01E-08
1232.21484,1.72E-07,1.97E-08
1237.48145,1.70E-07,1.94E-08
1242.77051,1.69E-07,1.91E-08
1248.08228,1.67E-07,1.88E-08
1253.41675,1.66E-07,1.85E-08
1258.77393,1.65E-07,1.82E-08
1264.15405,1.63E-07,1.79E-08
1269.55725,1.62E-07,1.77E-08
1274.9834,1.60E-07,1.74E-08
1280.43286,1.59E-07,1.71E-08
1285.90564,1.58E-07,1.68E-08
1291.40161,1.56E-07,1.66E-08
1296.92126,1.55E-07,1.63E-08
1302.46436,1.54E-07,1.60E-08
1308.03137,1.52E-07,1.58E-08
1313.62183,1.51E-07,1.55E-08
1319.23657,1.50E-07,1.53E-08
1324.875,1.48E-07,1.50E-08
1330.53772,1.47E-07,1.48E-08
1336.22461,1.46E-07,1.46E-08
1341.93567,1.45E-07,1.43E-08
1347.67126,1.43E-07,1.41E-08
1353.4314,1.42E-07,1.39E-08
1359.21606,1.41E-07,1.36E-08
1365.02551,1.40E-07,1.34E-08
1370.85974,1.39E-07,1.32E-08
1376.71887,1.37E-07,1.30E-08
1382.60315,1.36E-07,1.28E-08
1388.51245,1.35E-07,1.26E-08
1394.44727,1.34E-07,1.24E-08
1400.40723,1.33E-07,1.22E-08
1406.3927,1.32E-07,1.20E-08
1412.40369,1.30E-07,1.18E-08
1418.44043,1.29E-07,1.16E-08
1424.50305,1.28E-07,1.14E-08
1430.59155,1.27E-07,1.12E-08
1436.70605,1.26E-07,1.11E-08
1442.84668,1.25E-07,1.09E-08
1449.01343,1.24E-07,1.07E-08
1455.20679,1.23E-07,1.05E-08
1461.42651,1.22E-07,1.04E-08
1467.67273,1.21E-07,1.02E-08
1473.94568,1.20E-07,1.00E-08
1480.24548,1.19E-07,9.88E-09
1486.57227,1.18E-07,9.73E-09
1492.92603,1.17E-07,9.57E-09
1499.30688,1.16E-07,9.42E-09
1505.71509,1.15E-07,9.26E-09
1512.15063,1.14E-07,9.11E-09
1518.61377,1.13E-07,8.97E-09
1525.10449,1.12E-07,8.82E-09
1531.62292,1.11E-07,8.68E-09
1538.16931,1.10E-07,8.54E-09
1544.74353,1.09E-07,8.40E-09
1551.34595,1.08E-07,8.27E-09
1557.97644,1.07E-07,8.13E-09
1564.6355,1.06E-07,8.00E-09
1571.32288,1.05E-07,7.87E-09
1578.03894,1.04E-07,7.75E-09
1584.78357,1.03E-07,7.62E-09
1591.55713,1.02E-07,7.50E-09
1598.35962,1.02E-07,7.38E-09
1605.19116,1.01E-07,7.26E-09
1612.05188,9.98E-08,7.14E-09
1618.94202,9.89E-08,7.03E-09
1625.86157,9.81E-08,6.91E-09
1632.81055,9.72E-08,6.80E-09
1639.78931,9.64E-08,6.69E-09
1646.79797,9.56E-08,6.58E-09
1653.83655,9.47E-08,6.48E-09
1660.90527,9.39E-08,6.37E-09
1668.00415,9.31E-08,6.27E-09
1675.1333,9.23E-08,6.17E-09
1682.29309,9.15E-08,6.07E-09
1689.48328,9.07E-08,5.97E-09
1696.70435,8.99E-08,5.87E-09
1703.9563,8.92E-08,5.78E-09
1711.23914,8.84E-08,5.69E-09
1718.55322,8.76E-08,5.59E-09
1725.89844,8.69E-08,5.50E-09
1733.27502,8.61E-08,5.41E-09
1740.68335,8.54E-08,5.33E-09
1748.12317,8.46E-08,5.24E-09
1755.59473,8.39E-08,5.16E-09
1763.09839,8.32E-08,5.07E-09
1770.63403,8.25E-08,4.99E-09
1778.2019,8.18E-08,4.91E-09
