B4C,Density=2.52,
"Energy(eV),","Delta,",Beta
11791.7686,3.54E-06,1.76E-09
11872.416,3.50E-06,1.72E-09
11953.6152,3.45E-06,1.68E-09
12035.3701,3.40E-06,1.63E-09
12117.6836,3.36E-06,1.59E-09
12200.5596,3.31E-06,1.55E-09
12284.0029,3.27E-06,1.52E-09
12368.0176,3.22E-06,1.48E-09
12452.6064,3.18E-06,1.44E-09
12537.7734,3.13E-06,1.41E-09
12623.5225,3.09E-06,1.37E-09
12709.8594,3.05E-06,1.34E-09
12796.7852,3.01E-06,1.31E-09
12884.3066,2.97E-06,1.27E-09
12972.4268,2.93E-06,1.24E-09
13061.1484,2.89E-06,1.21E-09
13150.4785,2.85E-06,1.19E-09
13240.418,2.81E-06,1.16E-09
13330.9736,2.77E-06,1.13E-09
13422.1475,2.73E-06,1.10E-09
13513.9463,2.70E-06,1.08E-09
13606.373,2.66E-06,1.05E-09
13699.4307,2.63E-06,1.03E-09
13793.125,2.59E-06,1.00E-09
13887.4609,2.55E-06,9.81E-10
13982.4414,2.52E-06,9.58E-10
14078.0713,2.49E-06,9.36E-10
14174.3555,2.45E-06,9.15E-10
14271.2988,2.42E-06,8.94E-10
14368.9043,2.39E-06,8.74E-10
14467.1777,2.35E-06,8.55E-10
14566.123,2.32E-06,8.36E-10
14665.7461,2.29E-06,8.17E-10
14766.0498,2.26E-06,7.99E-10
14867.0391,2.23E-06,7.82E-10
14968.7188,2.20E-06,7.65E-10
15071.0947,2.17E-06,7.48E-10
15174.1709,2.14E-06,7.32E-10
15277.9512,2.11E-06,7.16E-10
15382.4414,2.08E-06,7.01E-10
15487.6475,2.05E-06,6.86E-10
15593.5713,2.03E-06,6.71E-10
15700.2207,2.00E-06,6.57E-10
15807.5996,1.97E-06,6.43E-10
15915.7129,1.94E-06,6.30E-10
16024.5645,1.92E-06,6.17E-10
16134.1631,1.89E-06,6.04E-10
16244.5088,1.87E-06,5.92E-10
16355.6104,1.84E-06,5.80E-10
16467.4727,1.82E-06,5.68E-10
16580.0977,1.79E-06,5.57E-10
16693.4922,1.77E-06,5.46E-10
16807.6641,1.74E-06,5.35E-10
16922.6191,1.72E-06,5.24E-10
17038.3574,1.70E-06,5.14E-10
17154.8887,1.67E-06,5.04E-10
17272.2148,1.65E-06,4.94E-10
17390.3457,1.63E-06,4.85E-10
17509.2832,1.61E-06,4.76E-10
17629.0352,1.58E-06,4.67E-10
17749.6055,1.56E-06,4.58E-10
17871,1.54E-06,4.50E-10
17993.2246,1.52E-06,4.41E-10
18116.2871,1.50E-06,4.33E-10
18240.1914,1.48E-06,4.26E-10
18364.9414,1.46E-06,4.18E-10
18490.543,1.44E-06,4.11E-10
18617.0059,1.42E-06,4.03E-10
18744.334,1.40E-06,3.96E-10
18872.5312,1.38E-06,3.89E-10
19001.6074,1.36E-06,3.83E-10
19131.5645,1.35E-06,3.76E-10
19262.4102,1.33E-06,3.70E-10
19394.1543,1.31E-06,3.64E-10
19526.7969,1.29E-06,3.58E-10
19660.3457,1.27E-06,3.52E-10
19794.8086,1.26E-06,3.46E-10
19930.1914,1.24E-06,3.41E-10
20066.5,1.22E-06,3.35E-10
20203.7402,1.21E-06,3.30E-10
20341.9199,1.19E-06,3.24E-10
20481.0449,1.17E-06,3.19E-10
20621.123,1.16E-06,3.14E-10
20762.1562,1.14E-06,3.09E-10
20904.1562,1.13E-06,3.04E-10
21047.125,1.11E-06,2.99E-10
21191.0723,1.10E-06,2.95E-10
21336.0039,1.08E-06,2.90E-10
21481.9277,1.07E-06,2.86E-10
21628.8496,1.05E-06,2.82E-10
21776.7754,1.04E-06,2.77E-10
21925.7148,1.02E-06,2.73E-10
22075.6699,1.01E-06,2.69E-10
22226.6543,9.97E-07,2.65E-10
22378.668,9.83E-07,2.62E-10
22531.7227,9.70E-07,2.58E-10
22685.8262,9.57E-07,2.54E-10
22840.9805,9.44E-07,2.51E-10
22997.1953,9.31E-07,2.47E-10
23154.4824,9.18E-07,2.44E-10
23312.8418,9.06E-07,2.40E-10
23472.2871,8.94E-07,2.37E-10
23632.8203,8.82E-07,2.34E-10
23794.4531,8.70E-07,2.31E-10
23957.1895,8.58E-07,2.28E-10
24121.041,8.46E-07,2.25E-10
24286.0117,8.35E-07,2.22E-10
24452.1094,8.23E-07,2.19E-10
24619.3457,8.12E-07,2.16E-10
24787.7246,8.01E-07,2.14E-10
24957.2559,7.90E-07,2.11E-10
25127.9473,7.80E-07,2.08E-10
25299.8047,7.69E-07,2.06E-10
25472.8379,7.59E-07,2.03E-10
25647.0547,7.48E-07,2.01E-10
25822.4629,7.38E-07,1.98E-10
25999.0703,7.28E-07,1.96E-10
26176.8848,7.18E-07,1.94E-10
26355.918,7.09E-07,1.91E-10
26536.1738,6.99E-07,1.89E-10
26717.6621,6.90E-07,1.87E-10
26900.3945,6.80E-07,1.85E-10
27084.373,6.71E-07,1.83E-10
27269.6113,6.62E-07,1.81E-10
27456.1172,6.53E-07,1.79E-10
27643.8984,6.44E-07,1.77E-10
27832.9648,6.35E-07,1.75E-10
28023.3203,6.27E-07,1.73E-10
28214.9805,6.18E-07,1.71E-10
28407.9531,6.10E-07,1.69E-10
28602.2441,6.02E-07,1.67E-10
28797.8633,5.94E-07,1.66E-10
28994.8223,5.86E-07,1.64E-10
29193.125,5.78E-07,1.62E-10
29392.7852,5.70E-07,1.61E-10
29593.8125,5.62E-07,1.59E-10
29796.2129,5.54E-07,1.57E-10
30000,5.47E-07,1.56E-10
