Pt,Density=21.45,
"Energy(eV),","Delta,",Beta
1467.67273,0.00109504,0.00031855
1473.94568,0.001085272,0.000314404
1480.24548,0.001075591,0.000310312
1486.57227,0.001065955,0.000306251
1492.92603,0.001056384,0.000302233
1499.30688,0.0010469,0.000298267
1505.71509,0.001037426,0.00029432
1512.15063,0.001028012,0.000290412
1518.61377,0.001018683,0.000286557
1525.10449,0.001009347,0.000282754
1531.62292,0.001000076,0.000279002
1538.16931,0.00099089,0.000275299
1544.74353,0.000981707,0.000271645
1551.34595,0.0009726,0.000268039
1557.97644,0.000963576,0.000264481
1564.6355,0.000954546,0.000260971
1571.32288,0.000945599,0.000257508
1578.03894,0.000936728,0.00025409
1584.78357,0.000927853,0.000250717
1591.55713,0.000919061,0.000247389
1598.35962,0.000910337,0.000244105
1605.19116,0.000901613,0.000240865
1612.05188,0.000892972,0.000237668
1618.94202,0.000884389,0.000234513
1625.86157,0.00087581,0.0002314
1632.81055,0.000867314,0.000228329
1639.78931,0.000858865,0.000225298
1646.79797,0.000850427,0.000222308
1653.83655,0.00084207,0.000219357
1660.90527,0.00083375,0.000216446
1668.00415,0.000825444,0.000213573
1675.1333,0.000817219,0.000210738
1682.29309,0.000809017,0.000207941
1689.48328,0.000800834,0.000205181
1696.70435,0.000792732,0.000202458
1703.9563,0.00078464,0.00019977
1711.23914,0.000776574,0.000197119
1718.55322,0.000768588,0.000194502
1725.89844,0.000760609,0.000191921
1733.27502,0.000752669,0.000189374
1740.68335,0.000744809,0.00018686
1748.12317,0.000736917,0.000184358
1755.59473,0.000729065,0.000181881
1763.09839,0.000721292,0.000179438
1770.63403,0.000713448,0.000177006
1778.2019,0.000705649,0.000174603
1785.80212,0.000697931,0.000172232
1793.43481,0.00069011,0.000169893
1801.1001,0.00068235,0.000167587
1808.79822,0.000674671,0.000165311
1816.5293,0.000666861,0.000163067
1824.29321,0.000659128,0.000160853
1832.09045,0.000651466,0.000158669
1839.92102,0.000643651,0.000156515
1847.78503,0.000635922,0.00015439
1855.68262,0.000628239,0.000152294
1863.61401,0.000620395,0.000150226
1871.57935,0.000612639,0.000148186
1879.57861,0.000604897,0.000146173
1887.61206,0.000596984,0.000144189
1895.67993,0.000589162,0.000142231
1903.78223,0.00058131,0.0001403
1911.91919,0.000573272,0.000138395
1920.09106,0.000565328,0.000136516
1928.29761,0.000557291,0.000134662
1936.53943,0.000549051,0.000132834
1944.81641,0.000540911,0.000131031
1953.12866,0.000532581,0.000129252
1961.47656,0.000524026,0.000127497
1969.86011,0.000515578,0.000125766
1978.27942,0.000506789,0.000124058
1986.73486,0.000497745,0.000122374
1995.22644,0.000488817,0.000120713
2003.75415,0.000479288,0.000119074
2012.31836,0.000469464,0.000117457
2020.91931,0.000459772,0.000115862
2029.55701,0.000448969,0.000114289
2038.23132,0.000437812,0.000112738
2046.94299,0.000426813,0.000111208
2055.69189,0.000413498,0.00010968
2064.47827,0.000399732,0.000108168
2073.30176,0.00038617,0.000106677
2082.16333,0.000365941,0.000105196
2091.06274,0.000345044,0.000103734
2100.00024,0.000324476,0.000102293
