Au,Density=19.32,
"Energy(eV),","Delta,",Beta
18240.1914,9.49E-06,1.01E-06
18364.9414,9.37E-06,9.88E-07
18490.543,9.25E-06,9.65E-07
18617.0059,9.13E-06,9.41E-07
18744.334,9.01E-06,9.19E-07
18872.5312,8.89E-06,8.96E-07
19001.6074,8.78E-06,8.75E-07
19131.5645,8.66E-06,8.53E-07
19262.4102,8.55E-06,8.33E-07
19394.1543,8.44E-06,8.13E-07
19526.7969,8.33E-06,7.93E-07
19660.3457,8.22E-06,7.74E-07
19794.8086,8.11E-06,7.55E-07
19930.1914,8.01E-06,7.36E-07
20066.5,7.90E-06,7.19E-07
20203.7402,7.80E-06,7.01E-07
20341.9199,7.69E-06,6.84E-07
20481.0449,7.59E-06,6.67E-07
20621.123,7.49E-06,6.51E-07
20762.1562,7.39E-06,6.35E-07
20904.1562,7.29E-06,6.20E-07
21047.125,7.20E-06,6.04E-07
21191.0723,7.10E-06,5.90E-07
21336.0039,7.01E-06,5.75E-07
21481.9277,6.92E-06,5.61E-07
21628.8496,6.82E-06,5.47E-07
21776.7754,6.73E-06,5.34E-07
21925.7148,6.64E-06,5.21E-07
22075.6699,6.55E-06,5.08E-07
22226.6543,6.47E-06,4.96E-07
22378.668,6.38E-06,4.84E-07
22531.7227,6.30E-06,4.72E-07
22685.8262,6.21E-06,4.60E-07
22840.9805,6.13E-06,4.49E-07
22997.1953,6.05E-06,4.38E-07
23154.4824,5.97E-06,4.27E-07
23312.8418,5.89E-06,4.16E-07
23472.2871,5.81E-06,4.06E-07
23632.8203,5.73E-06,3.96E-07
23794.4531,5.65E-06,3.86E-07
23957.1895,5.58E-06,3.77E-07
24121.041,5.50E-06,3.68E-07
24286.0117,5.43E-06,3.59E-07
24452.1094,5.35E-06,3.50E-07
24619.3457,5.28E-06,3.41E-07
24787.7246,5.21E-06,3.33E-07
24957.2559,5.14E-06,3.24E-07
25127.9473,5.07E-06,3.16E-07
25299.8047,5.00E-06,3.09E-07
25472.8379,4.93E-06,3.01E-07
25647.0547,4.87E-06,2.93E-07
25822.4629,4.80E-06,2.86E-07
25999.0703,4.74E-06,2.79E-07
26176.8848,4.67E-06,2.72E-07
26355.918,4.61E-06,2.65E-07
26536.1738,4.55E-06,2.59E-07
26717.6621,4.49E-06,2.52E-07
26900.3945,4.43E-06,2.46E-07
27084.373,4.37E-06,2.40E-07
27269.6113,4.31E-06,2.34E-07
27456.1172,4.25E-06,2.28E-07
27643.8984,4.19E-06,2.23E-07
27832.9648,4.13E-06,2.17E-07
28023.3203,4.08E-06,2.12E-07
28214.9805,4.02E-06,2.06E-07
28407.9531,3.97E-06,2.01E-07
28602.2441,3.91E-06,1.96E-07
28797.8633,3.86E-06,1.91E-07
28994.8223,3.81E-06,1.87E-07
29193.125,3.76E-06,1.82E-07
29392.7852,3.71E-06,1.78E-07
29593.8125,3.66E-06,1.73E-07
29796.2129,3.61E-06,1.69E-07
30000,3.56E-06,1.65E-07
