N1.562O.42C.0003Ar.0094,Density=0.1200E-02,
"Energy(eV),","Delta,",Beta
23632.8203,4.46E-10,2.30E-13
23794.4531,4.39E-10,2.25E-13
23957.1895,4.34E-10,2.21E-13
24121.041,4.28E-10,2.16E-13
24286.0117,4.22E-10,2.12E-13
24452.1094,4.16E-10,2.07E-13
24619.3457,4.10E-10,2.03E-13
24787.7246,4.05E-10,1.99E-13
24957.2559,3.99E-10,1.95E-13
25127.9473,3.94E-10,1.91E-13
25299.8047,3.89E-10,1.88E-13
25472.8379,3.83E-10,1.84E-13
25647.0547,3.78E-10,1.81E-13
25822.4629,3.73E-10,1.77E-13
25999.0703,3.68E-10,1.74E-13
26176.8848,3.63E-10,1.70E-13
26355.918,3.58E-10,1.67E-13
26536.1738,3.53E-10,1.64E-13
26717.6621,3.49E-10,1.61E-13
26900.3945,3.44E-10,1.58E-13
27084.373,3.39E-10,1.55E-13
27269.6113,3.35E-10,1.52E-13
27456.1172,3.30E-10,1.50E-13
27643.8984,3.26E-10,1.47E-13
27832.9648,3.21E-10,1.44E-13
28023.3203,3.17E-10,1.42E-13
28214.9805,3.12E-10,1.39E-13
28407.9531,3.08E-10,1.37E-13
28602.2441,3.04E-10,1.34E-13
28797.8633,3.00E-10,1.32E-13
28994.8223,2.96E-10,1.30E-13
29193.125,2.92E-10,1.28E-13
29392.7852,2.88E-10,1.25E-13
29593.8125,2.84E-10,1.23E-13
29796.2129,2.80E-10,1.21E-13
30000,2.76E-10,1.19E-13
