SiC,Density=3.217,
"Energy(eV),","Delta,",Beta
7887.31787,1.09E-05,1.87E-07
7941.26123,1.07E-05,1.82E-07
7995.57422,1.06E-05,1.77E-07
8050.25879,1.04E-05,1.72E-07
8105.31641,1.03E-05,1.68E-07
8160.75146,1.01E-05,1.63E-07
8216.56543,1.00E-05,1.59E-07
8272.76074,9.86E-06,1.55E-07
8329.34082,9.73E-06,1.51E-07
8386.30762,9.60E-06,1.47E-07
8443.66406,9.47E-06,1.43E-07
8501.41309,9.34E-06,1.39E-07
8559.55664,9.21E-06,1.35E-07
8618.09863,9.08E-06,1.32E-07
8677.04004,8.96E-06,1.28E-07
8736.38574,8.84E-06,1.25E-07
8796.13574,8.72E-06,1.22E-07
8856.2959,8.60E-06,1.18E-07
8916.86621,8.48E-06,1.15E-07
8977.85156,8.36E-06,1.12E-07
9039.25391,8.25E-06,1.09E-07
9101.07617,8.14E-06,1.06E-07
9163.32129,8.03E-06,1.04E-07
9225.99219,7.92E-06,1.01E-07
9289.09082,7.81E-06,9.82E-08
9352.62207,7.70E-06,9.56E-08
9416.58789,7.60E-06,9.31E-08
9480.99023,7.49E-06,9.06E-08
9545.83496,7.39E-06,8.82E-08
9611.12109,7.29E-06,8.59E-08
9676.85449,7.19E-06,8.36E-08
9743.03711,7.09E-06,8.14E-08
9809.67285,7.00E-06,7.92E-08
9876.76465,6.90E-06,7.71E-08
9944.31543,6.81E-06,7.51E-08
10012.3271,6.71E-06,7.31E-08
10080.8047,6.62E-06,7.12E-08
10149.75,6.53E-06,6.93E-08
10219.168,6.44E-06,6.74E-08
10289.0596,6.36E-06,6.57E-08
10359.4297,6.27E-06,6.39E-08
10430.2803,6.18E-06,6.22E-08
10501.6162,6.10E-06,6.06E-08
10573.4404,6.02E-06,5.90E-08
10645.7559,5.93E-06,5.74E-08
10718.5654,5.85E-06,5.59E-08
10791.873,5.77E-06,5.44E-08
10865.6816,5.69E-06,5.29E-08
10939.9961,5.62E-06,5.15E-08
11014.8174,5.54E-06,5.02E-08
11090.1504,5.46E-06,4.88E-08
11166,5.39E-06,4.75E-08
11242.3682,5.32E-06,4.63E-08
11319.2578,5.24E-06,4.51E-08
11396.6738,5.17E-06,4.39E-08
11474.6191,5.10E-06,4.27E-08
11553.0977,5.03E-06,4.16E-08
11632.1123,4.96E-06,4.05E-08
11711.6689,4.90E-06,3.94E-08
11791.7686,4.83E-06,3.83E-08
11872.416,4.76E-06,3.73E-08
11953.6152,4.70E-06,3.63E-08
12035.3701,4.64E-06,3.54E-08
12117.6836,4.57E-06,3.44E-08
12200.5596,4.51E-06,3.35E-08
12284.0029,4.45E-06,3.26E-08
12368.0176,4.39E-06,3.17E-08
12452.6064,4.33E-06,3.09E-08
12537.7734,4.27E-06,3.01E-08
12623.5225,4.21E-06,2.93E-08
12709.8594,4.15E-06,2.85E-08
12796.7852,4.10E-06,2.77E-08
12884.3066,4.04E-06,2.70E-08
12972.4268,3.99E-06,2.63E-08
13061.1484,3.93E-06,2.56E-08
13150.4785,3.88E-06,2.49E-08
13240.418,3.83E-06,2.42E-08
13330.9736,3.77E-06,2.36E-08
13422.1475,3.72E-06,2.30E-08
13513.9463,3.67E-06,2.24E-08
13606.373,3.62E-06,2.18E-08
13699.4307,3.57E-06,2.12E-08
13793.125,3.52E-06,2.06E-08
13887.4609,3.48E-06,2.01E-08
13982.4414,3.43E-06,1.95E-08
14078.0713,3.38E-06,1.90E-08
14174.3555,3.34E-06,1.85E-08
14271.2988,3.29E-06,1.80E-08
14368.9043,3.25E-06,1.75E-08
14467.1777,3.20E-06,1.71E-08
14566.123,3.16E-06,1.66E-08
14665.7461,3.12E-06,1.62E-08
14766.0498,3.07E-06,1.58E-08
14867.0391,3.03E-06,1.53E-08
14968.7188,2.99E-06,1.49E-08
15071.0947,2.95E-06,1.45E-08
15174.1709,2.91E-06,1.41E-08
15277.9512,2.87E-06,1.38E-08
15382.4414,2.83E-06,1.34E-08
15487.6475,2.79E-06,1.30E-08
15593.5713,2.75E-06,1.27E-08
15700.2207,2.72E-06,1.24E-08
15807.5996,2.68E-06,1.20E-08
15915.7129,2.64E-06,1.17E-08
16024.5645,2.61E-06,1.14E-08
16134.1631,2.57E-06,1.11E-08
16244.5088,2.54E-06,1.08E-08
16355.6104,2.50E-06,1.05E-08
16467.4727,2.47E-06,1.02E-08
16580.0977,2.43E-06,9.97E-09
16693.4922,2.40E-06,9.71E-09
16807.6641,2.37E-06,9.45E-09
16922.6191,2.34E-06,9.20E-09
17038.3574,2.31E-06,8.95E-09
17154.8887,2.27E-06,8.72E-09
17272.2148,2.24E-06,8.49E-09
17390.3457,2.21E-06,8.26E-09
17509.2832,2.18E-06,8.04E-09
17629.0352,2.15E-06,7.83E-09
17749.6055,2.12E-06,7.62E-09
17871,2.09E-06,7.42E-09
17993.2246,2.07E-06,7.22E-09
18116.2871,2.04E-06,7.03E-09
18240.1914,2.01E-06,6.85E-09
18364.9414,1.98E-06,6.67E-09
18490.543,1.96E-06,6.49E-09
18617.0059,1.93E-06,6.32E-09
18744.334,1.90E-06,6.15E-09
18872.5312,1.88E-06,5.99E-09
19001.6074,1.85E-06,5.83E-09
19131.5645,1.83E-06,5.68E-09
19262.4102,1.80E-06,5.53E-09
19394.1543,1.78E-06,5.38E-09
19526.7969,1.75E-06,5.24E-09
19660.3457,1.73E-06,5.10E-09
19794.8086,1.71E-06,4.97E-09
19930.1914,1.68E-06,4.84E-09
20066.5,1.66E-06,4.71E-09
20203.7402,1.64E-06,4.59E-09
20341.9199,1.62E-06,4.46E-09
20481.0449,1.59E-06,4.35E-09
20621.123,1.57E-06,4.23E-09
20762.1562,1.55E-06,4.12E-09
20904.1562,1.53E-06,4.01E-09
21047.125,1.51E-06,3.91E-09
21191.0723,1.49E-06,3.81E-09
21336.0039,1.47E-06,3.71E-09
21481.9277,1.45E-06,3.61E-09
21628.8496,1.43E-06,3.51E-09
21776.7754,1.41E-06,3.42E-09
21925.7148,1.39E-06,3.33E-09
22075.6699,1.37E-06,3.25E-09
22226.6543,1.35E-06,3.16E-09
22378.668,1.33E-06,3.08E-09
22531.7227,1.32E-06,3.00E-09
22685.8262,1.30E-06,2.92E-09
22840.9805,1.28E-06,2.85E-09
22997.1953,1.26E-06,2.77E-09
23154.4824,1.25E-06,2.70E-09
23312.8418,1.23E-06,2.63E-09
23472.2871,1.21E-06,2.56E-09
23632.8203,1.20E-06,2.50E-09
23794.4531,1.18E-06,2.43E-09
23957.1895,1.16E-06,2.37E-09
24121.041,1.15E-06,2.31E-09
24286.0117,1.13E-06,2.25E-09
24452.1094,1.12E-06,2.19E-09
24619.3457,1.10E-06,2.14E-09
24787.7246,1.09E-06,2.08E-09
24957.2559,1.07E-06,2.03E-09
25127.9473,1.06E-06,1.98E-09
25299.8047,1.04E-06,1.93E-09
25472.8379,1.03E-06,1.88E-09
25647.0547,1.01E-06,1.83E-09
25822.4629,1.00E-06,1.78E-09
25999.0703,9.87E-07,1.74E-09
26176.8848,9.74E-07,1.69E-09
26355.918,9.61E-07,1.65E-09
26536.1738,9.48E-07,1.61E-09
26717.6621,9.35E-07,1.57E-09
26900.3945,9.22E-07,1.53E-09
27084.373,9.10E-07,1.49E-09
27269.6113,8.97E-07,1.45E-09
27456.1172,8.85E-07,1.42E-09
27643.8984,8.73E-07,1.38E-09
27832.9648,8.61E-07,1.35E-09
28023.3203,8.50E-07,1.31E-09
28214.9805,8.38E-07,1.28E-09
28407.9531,8.27E-07,1.25E-09
28602.2441,8.16E-07,1.22E-09
28797.8633,8.05E-07,1.19E-09
28994.8223,7.94E-07,1.16E-09
29193.125,7.83E-07,1.13E-09
29392.7852,7.72E-07,1.10E-09
29593.8125,7.62E-07,1.08E-09
29796.2129,7.51E-07,1.05E-09
30000,7.41E-07,1.03E-09
