Y3Al5O12,Density=4.55,
"Energy(eV),","Delta,",Beta
13061.1484,5.13E-06,6.04E-08
13150.4785,5.06E-06,5.89E-08
13240.418,4.99E-06,5.74E-08
13330.9736,4.92E-06,5.59E-08
13422.1475,4.86E-06,5.45E-08
13513.9463,4.79E-06,5.31E-08
13606.373,4.72E-06,5.17E-08
13699.4307,4.66E-06,5.04E-08
13793.125,4.59E-06,4.91E-08
13887.4609,4.53E-06,4.78E-08
13982.4414,4.47E-06,4.66E-08
14078.0713,4.40E-06,4.54E-08
14174.3555,4.34E-06,4.43E-08
14271.2988,4.28E-06,4.31E-08
14368.9043,4.22E-06,4.20E-08
14467.1777,4.17E-06,4.10E-08
14566.123,4.11E-06,3.99E-08
14665.7461,4.05E-06,3.89E-08
14766.0498,3.99E-06,3.79E-08
14867.0391,3.94E-06,3.69E-08
14968.7188,3.88E-06,3.60E-08
15071.0947,3.83E-06,3.51E-08
15174.1709,3.77E-06,3.42E-08
15277.9512,3.72E-06,3.33E-08
15382.4414,3.67E-06,3.24E-08
15487.6475,3.62E-06,3.16E-08
15593.5713,3.56E-06,3.08E-08
15700.2207,3.51E-06,3.00E-08
15807.5996,3.46E-06,2.92E-08
15915.7129,3.41E-06,2.85E-08
16024.5645,3.36E-06,2.78E-08
16134.1631,3.31E-06,2.71E-08
16244.5088,3.27E-06,2.64E-08
16355.6104,3.22E-06,2.57E-08
16467.4727,3.17E-06,2.50E-08
16580.0977,3.12E-06,2.44E-08
16693.4922,3.06E-06,2.38E-08
16807.6641,3.01E-06,2.32E-08
16922.6191,2.86E-06,2.26E-08
17038.3574,2.67E-06,3.31E-08
17154.8887,2.86E-06,1.24E-07
17272.2148,2.85E-06,1.21E-07
17390.3457,2.83E-06,1.18E-07
17509.2832,2.80E-06,1.15E-07
17629.0352,2.77E-06,1.13E-07
17749.6055,2.74E-06,1.10E-07
17871,2.71E-06,1.07E-07
17993.2246,2.68E-06,1.05E-07
18116.2871,2.64E-06,1.02E-07
18240.1914,2.61E-06,9.98E-08
18364.9414,2.58E-06,9.74E-08
18490.543,2.55E-06,9.51E-08
18617.0059,2.52E-06,9.28E-08
18744.334,2.48E-06,9.06E-08
18872.5312,2.45E-06,8.84E-08
19001.6074,2.42E-06,8.63E-08
19131.5645,2.39E-06,8.42E-08
19262.4102,2.36E-06,8.22E-08
19394.1543,2.33E-06,8.02E-08
19526.7969,2.30E-06,7.82E-08
19660.3457,2.27E-06,7.63E-08
19794.8086,2.24E-06,7.45E-08
19930.1914,2.21E-06,7.27E-08
20066.5,2.18E-06,7.09E-08
20203.7402,2.15E-06,6.92E-08
20341.9199,2.12E-06,6.75E-08
20481.0449,2.10E-06,6.59E-08
20621.123,2.07E-06,6.43E-08
20762.1562,2.04E-06,6.27E-08
20904.1562,2.02E-06,6.12E-08
21047.125,1.99E-06,5.97E-08
21191.0723,1.96E-06,5.82E-08
21336.0039,1.94E-06,5.68E-08
21481.9277,1.91E-06,5.54E-08
21628.8496,1.89E-06,5.41E-08
21776.7754,1.86E-06,5.27E-08
21925.7148,1.84E-06,5.14E-08
22075.6699,1.81E-06,5.02E-08
22226.6543,1.79E-06,4.89E-08
22378.668,1.76E-06,4.77E-08
22531.7227,1.74E-06,4.66E-08
22685.8262,1.72E-06,4.54E-08
22840.9805,1.69E-06,4.43E-08
22997.1953,1.67E-06,4.32E-08
23154.4824,1.65E-06,4.21E-08
23312.8418,1.63E-06,4.11E-08
23472.2871,1.61E-06,4.01E-08
23632.8203,1.58E-06,3.91E-08
23794.4531,1.56E-06,3.81E-08
23957.1895,1.54E-06,3.72E-08
24121.041,1.52E-06,3.63E-08
24286.0117,1.50E-06,3.54E-08
24452.1094,1.48E-06,3.45E-08
24619.3457,1.46E-06,3.36E-08
24787.7246,1.44E-06,3.28E-08
24957.2559,1.42E-06,3.20E-08
25127.9473,1.40E-06,3.12E-08
25299.8047,1.38E-06,3.04E-08
25472.8379,1.37E-06,2.96E-08
25647.0547,1.35E-06,2.89E-08
25822.4629,1.33E-06,2.82E-08
25999.0703,1.31E-06,2.75E-08
26176.8848,1.29E-06,2.68E-08
26355.918,1.28E-06,2.61E-08
26536.1738,1.26E-06,2.55E-08
26717.6621,1.24E-06,2.48E-08
26900.3945,1.23E-06,2.42E-08
27084.373,1.21E-06,2.36E-08
27269.6113,1.19E-06,2.30E-08
27456.1172,1.18E-06,2.24E-08
27643.8984,1.16E-06,2.19E-08
27832.9648,1.14E-06,2.13E-08
28023.3203,1.13E-06,2.08E-08
28214.9805,1.11E-06,2.03E-08
28407.9531,1.10E-06,1.98E-08
28602.2441,1.08E-06,1.93E-08
28797.8633,1.07E-06,1.88E-08
28994.8223,1.06E-06,1.83E-08
29193.125,1.04E-06,1.79E-08
29392.7852,1.03E-06,1.74E-08
29593.8125,1.01E-06,1.70E-08
29796.2129,9.99E-07,1.65E-08
30000,9.86E-07,1.61E-08
