Si,Density=2.33,
"Energy(eV),","Delta,",Beta
18872.5312,1.36E-06,5.98E-09
19001.6074,1.34E-06,5.82E-09
19131.5645,1.32E-06,5.67E-09
19262.4102,1.31E-06,5.52E-09
19394.1543,1.29E-06,5.37E-09
19526.7969,1.27E-06,5.23E-09
19660.3457,1.25E-06,5.09E-09
19794.8086,1.24E-06,4.95E-09
19930.1914,1.22E-06,4.82E-09
20066.5,1.20E-06,4.69E-09
20203.7402,1.19E-06,4.57E-09
20341.9199,1.17E-06,4.45E-09
20481.0449,1.15E-06,4.33E-09
20621.123,1.14E-06,4.21E-09
20762.1562,1.12E-06,4.10E-09
20904.1562,1.11E-06,3.99E-09
21047.125,1.09E-06,3.89E-09
21191.0723,1.08E-06,3.78E-09
21336.0039,1.06E-06,3.68E-09
21481.9277,1.05E-06,3.58E-09
21628.8496,1.03E-06,3.49E-09
21776.7754,1.02E-06,3.40E-09
21925.7148,1.01E-06,3.31E-09
22075.6699,9.93E-07,3.22E-09
22226.6543,9.80E-07,3.14E-09
22378.668,9.66E-07,3.05E-09
22531.7227,9.53E-07,2.97E-09
22685.8262,9.40E-07,2.89E-09
22840.9805,9.28E-07,2.82E-09
22997.1953,9.15E-07,2.74E-09
23154.4824,9.03E-07,2.67E-09
23312.8418,8.90E-07,2.60E-09
23472.2871,8.78E-07,2.53E-09
23632.8203,8.66E-07,2.47E-09
23794.4531,8.54E-07,2.40E-09
23957.1895,8.43E-07,2.34E-09
24121.041,8.31E-07,2.28E-09
24286.0117,8.20E-07,2.22E-09
24452.1094,8.09E-07,2.16E-09
24619.3457,7.98E-07,2.10E-09
24787.7246,7.87E-07,2.05E-09
24957.2559,7.76E-07,1.99E-09
25127.9473,7.66E-07,1.94E-09
25299.8047,7.56E-07,1.89E-09
25472.8379,7.45E-07,1.84E-09
25647.0547,7.35E-07,1.80E-09
25822.4629,7.25E-07,1.75E-09
25999.0703,7.15E-07,1.70E-09
26176.8848,7.06E-07,1.66E-09
26355.918,6.96E-07,1.62E-09
26536.1738,6.87E-07,1.57E-09
26717.6621,6.77E-07,1.53E-09
26900.3945,6.68E-07,1.49E-09
27084.373,6.59E-07,1.46E-09
27269.6113,6.50E-07,1.42E-09
27456.1172,6.41E-07,1.38E-09
27643.8984,6.32E-07,1.35E-09
27832.9648,6.24E-07,1.31E-09
