Fe,Density=7.874,
"Energy(eV),","Delta,",Beta
1605.19116,0.000585733,0.000136976
1612.05188,0.000580958,0.000134926
1618.94202,0.00057622,0.000132908
1625.86157,0.000571505,0.000130919
1632.81055,0.000566829,0.00012896
1639.78931,0.000562191,0.00012703
1646.79797,0.000557585,0.000125129
1653.83655,0.000553009,0.000123257
1660.90527,0.000548471,0.000121413
1668.00415,0.000543969,0.000119596
1675.1333,0.000539497,0.000117807
1682.29309,0.000535058,0.000116044
1689.48328,0.000530655,0.000114308
1696.70435,0.000526288,0.000112598
1703.9563,0.000521954,0.000110913
1711.23914,0.000517655,0.000109253
1718.55322,0.000513392,0.000107618
1725.89844,0.000509162,0.000106006
1733.27502,0.000504957,0.0001044
1740.68335,0.000500788,0.000102819
1748.12317,0.000496652,0.000101261
1755.59473,0.000492545,9.97E-05
1763.09839,0.000488461,9.82E-05
1770.63403,0.000484411,9.67E-05
1778.2019,0.000480394,9.52E-05
1785.80212,0.0004764,9.38E-05
1793.43481,0.000472431,9.24E-05
1801.1001,0.000468495,9.09E-05
1808.79822,0.000464592,8.96E-05
1816.5293,0.000460709,8.82E-05
1824.29321,0.000456857,8.68E-05
1832.09045,0.000453037,8.55E-05
1839.92102,0.000449248,8.42E-05
1847.78503,0.00044548,8.29E-05
1855.68262,0.000441743,8.17E-05
1863.61401,0.000438038,8.04E-05
1871.57935,0.000434361,7.92E-05
1879.57861,0.000430709,7.80E-05
1887.61206,0.000427087,7.68E-05
1895.67993,0.000423495,7.56E-05
1903.78223,0.000419929,7.45E-05
1911.91919,0.000416389,7.33E-05
1920.09106,0.00041288,7.22E-05
1928.29761,0.0004094,7.11E-05
1936.53943,0.000405944,7.00E-05
1944.81641,0.000402516,6.90E-05
1953.12866,0.000399117,6.79E-05
1961.47656,0.000395747,6.69E-05
1969.86011,0.000392396,6.58E-05
1978.27942,0.000389073,6.48E-05
1986.73486,0.000385779,6.38E-05
1995.22644,0.000382513,6.29E-05
2003.75415,0.000379275,6.19E-05
2012.31836,0.000376065,6.10E-05
2020.91931,0.000372882,6.01E-05
2029.55701,0.000369724,5.91E-05
2038.23132,0.000366592,5.82E-05
2046.94299,0.000363486,5.73E-05
2055.69189,0.000360407,5.65E-05
2064.47827,0.000357348,5.56E-05
2073.30176,0.000354312,5.47E-05
2082.16333,0.000351302,5.39E-05
2091.06274,0.000348318,5.31E-05
2100.00024,0.000345353,5.22E-05
